item_id,title,category,subcategory,brand,description,price,content_tags,base_quality,exposure_weight,is_cold_start_item,launch_date,price_percentile
1,Cassia Signature Activewear 583,Fashion,Activewear,Cassia,"Cassia Signature Activewear built for outdoor use. This Fashion product features casual and handcrafted construction. Part of the Cassia Activewear range, it is designed for frequent travellers who want reliable activewear performance. Key attributes: casual, handcrafted, leather, sustainable.",1440.79,casual|handcrafted|leather|sustainable,0.4836,8.003409375146494e-05,0,2025-07-14,0.5408
2,Optiwave Studio Speaker 323,Electronics,Speakers,Optiwave,"Optiwave Studio Speakers built for daily use. This Electronics product features portable and waterproof construction. Part of the Optiwave Speakers range, it is designed for families who want reliable speakers performance. Key attributes: portable, waterproof, long battery.",10709.35,portable|waterproof|long-battery,0.564,8.30937035403397e-05,0,2025-05-15,0.94
3,Claypeak Ultra Storage 103,Home & Kitchen,Storage,Claypeak,"Claypeak Ultra Storage built for everyday convenience. This Home & Kitchen product features dishwasher safe and minimalist construction. Part of the Claypeak Storage range, it is designed for first-time buyers who want reliable storage performance. Key attributes: dishwasher safe, minimalist, non stick, eco friendly.",2688.3,dishwasher-safe|minimalist|non-stick|eco-friendly,0.5732,2.864525399078836e-07,1,2026-06-28,0.7344
4,Axlepro Advanced Tool 938,Automotive,Tools,Axlepro,"Axlepro Advanced Tools built for long-term use. This Automotive product features certified and compact construction. Part of the Axlepro Tools range, it is designed for professionals who want reliable tools performance. Key attributes: certified, compact, all terrain, easy install, high performance.",2894.52,certified|compact|all-terrain|easy-install|high-performance,0.7239,0.0001830761603263745,0,2025-11-11,0.7544
5,Rompbox Pro Building Block 353,Toys & Games,Building Blocks,Rompbox,"Rompbox Pro Building Blocks built for outdoor use. This Toys & Games product features problem solving and multiplayer construction. Part of the Rompbox Building Blocks range, it is designed for frequent travellers who want reliable building blocks performance. Key attributes: problem solving, multiplayer, age 3 plus, battery operated.",731.63,problem-solving|multiplayer|age-3-plus|battery-operated,0.532,0.0001517941984072173,0,2025-11-11,0.3376
6,Bloomessence Studio Fragrance 382,Beauty & Personal Care,Fragrances,Bloomessence,"Bloomessence Studio Fragrances built for long-term use. This Beauty & Personal Care product features dermatologist tested and spf construction. Part of the Bloomessence Fragrances range, it is designed for frequent travellers who want reliable fragrances performance. Key attributes: dermatologist tested, spf, sensitive skin.",641.01,dermatologist-tested|spf|sensitive-skin,0.6633,2.9512616666485825e-06,1,2026-06-09,0.2932
7,Grainmill Advanced Snack 663,Grocery & Gourmet,Snacks,Grainmill,"Grainmill Advanced Snacks built for everyday convenience. This Grocery & Gourmet product features single origin and gluten free construction. Part of the Grainmill Snacks range, it is designed for gift shoppers who want reliable snacks performance. Key attributes: single origin, gluten free, cold pressed, high protein.",230.0,single-origin|gluten-free|cold-pressed|high-protein,0.8479,0.0017993905465096224,0,2025-07-16,0.0908
8,Volante Heritage Speaker 630,Electronics,Speakers,Volante,"Volante Heritage Speakers built for outdoor use. This Electronics product features wireless and long battery construction. Part of the Volante Speakers range, it is designed for professionals who want reliable speakers performance. Key attributes: wireless, long battery, touchscreen, waterproof, gaming.",22502.44,wireless|long-battery|touchscreen|waterproof|gaming,0.4903,8.16474480275621e-05,0,2025-07-30,0.986
9,Torqline Max Bike Accessorie 472,Automotive,Bike Accessories,Torqline,"Torqline Max Bike Accessories built for daily use. This Automotive product features universal fit and oem grade construction. Part of the Torqline Bike Accessories range, it is designed for value-conscious shoppers who want reliable bike accessories performance. Key attributes: universal fit, oem grade, compact.",3061.17,universal-fit|oem-grade|compact,0.7432,0.00013061334081570743,0,2025-05-11,0.7676
10,Urbanknot Compact Women's Clothing 116,Fashion,Women's Clothing,Urbanknot,"Urbanknot Compact Women's Clothing built for everyday convenience. This Fashion product features leather and lightweight construction. Part of the Urbanknot Women's Clothing range, it is designed for frequent travellers who want reliable women's clothing performance. Key attributes: leather, lightweight, breathable, cotton, seasonal.",2114.05,leather|lightweight|breathable|cotton|seasonal,0.7072,0.0003543821965832144,0,2026-02-26,0.6688
11,Byteforge Everyday Headphone 316,Electronics,Headphones,Byteforge,"Byteforge Everyday Headphones built for everyday convenience. This Electronics product features gaming and noise cancelling construction. Part of the Byteforge Headphones range, it is designed for families who want reliable headphones performance. Key attributes: gaming, noise cancelling, waterproof, high resolution.",7573.4,gaming|noise-cancelling|waterproof|high-resolution,0.897,0.00015314227869874048,0,2024-07-09,0.904
